Refinitiv ESG Statement - BIO RAD LABORATORIES INC (BIO.N),,,,,,,,,,
Environment,,,,,,,,,,
,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012
Period End Date,2021-12-31,2020-12-31,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31
Reporting Currency,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD
Period Status,Complete,Complete,Complete,Complete,Complete,Complete,Complete,Complete,Complete,Complete
ESG Report,Yes,Yes,No,No,No,No,No,No,No,No
ESG Reporting Scope,100%,100%,--,--,--,--,--,--,--,--
ESG Report Auditor Name,--,--,--,--,--,--,--,--,--,--
 ESG Combined Score ,B-,C+,C,C,C+,C,C-,C-,D,D-
 ESG Score (Weight 100.0%),B-,C+,C,C,C+,C,C-,C-,D,D-
 Environmental Pillar Score (Weight 16.8%),C+,C,C,D+,D+,D+,D,D,D-,D-
 Social Pillar Score (Weight 47.3%),B,B,B-,B-,B-,B,B-,B-,D+,D
 Governance Pillar Score (Weight 35.9%),C+,C,D+,C-,C+,D+,D,D,D-,D-
 ESG Controversies Score ,A+,A+,A,A+,A+,A+,A+,B,A+,A+
Resource Use (Weight 4.8%),A-,B+,B,B-,B,B,C,C,D-,D-
     Policy Water Efficiency ,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
     Policy Energy Efficiency ,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
     Policy Sustainable Packaging ,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
     Policy Environmental Supply Chain ,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
     Targets Water Efficiency ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
     Targets Energy Efficiency ,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
     Environment Management Team ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
     Environmental Materials Sourcing ,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
     Toxic Chemicals Reduction ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
     Total Energy Use / Million in Revenue $ ,167.44,182.99,218.67,--,--,--,--,--,--,--
     Total Renewable Energy To Energy Use in million ,"6,241.22",--,--,--,--,--,--,--,--,--
     Green Buildings ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
     Total Water Use / Million in Revenue $ ,97.60,78.37,81.13,--,--,--,--,--,--,--
     Environmental Supply Chain Management ,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
     Environmental Supply Chain Monitoring ,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,--,--
     Env Supply Chain Partnership Termination ,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
Emissions (Weight 6.0%),B+,B-,B-,D-,D-,D-,D-,D-,D-,D-
     Policy Emissions ,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
     Targets Emissions ,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
     Biodiversity Impact Reduction ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
     Total CO2 Emissions / Million in Revenue $ ,10.28,12.37,13.86,--,--,--,--,--,--,--
"     CO2 Equivalent Emissions Indirect, Scope 3 To Revenues USD in million ",136.55,170.35,136.03,--,--,--,--,--,--,--
     Climate Change Commercial Risks Opportunities ,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
     Total Waste / Million in Revenue $ ,7.78,--,--,--,--,--,--,--,--,--
     Waste Recycled To Total Waste ,69.16%,--,--,--,--,--,--,--,--,--
     Total Hazardous Waste / Million in Revenue $ ,0.58,0.67,0.47,--,--,--,--,--,--,--
     e-Waste Reduction ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
     Staff Transportation Impact Reduction ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
     Environmental Expenditures Investments ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
     Self-Reported Environmental Fines To Revenues in million ,0.00,0.00,0.00,--,--,--,--,--,--,--
     Environmental Partnerships ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Innovation (Weight 6.0%),D-,D-,D-,D-,D-,D-,D-,D-,D-,D-
     Environmental Products ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
