Refinitiv ESG Statement - EXTRA SPACE STORAGE INC (EXR.N),,,,,,,,,,
Environment,,,,,,,,,,
,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
Period End Date,2020-12-31,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,--,--,--
Reporting Currency,USD,USD,USD,USD,USD,USD,USD,--,--,--
Period Status,Complete,Complete,Complete,Complete,Complete,Complete,Complete,--,--,--
ESG Report,Yes,No,No,No,No,No,No,--,--,--
ESG Reporting Scope,94.00%,--,--,--,--,--,--,--,--,--
ESG Report Auditor Name,--,--,--,--,--,--,--,--,--,--
 ESG Combined Score ,C-,C,C,D,D,D,D,,,
 ESG Score (Weight 100.0%),C-,C,C,D,D,D,D,,,
 Environmental Pillar Score (Weight 37.6%),D+,C-,C,D-,D-,D-,D-,,,
 Social Pillar Score (Weight 30.2%),B,B,B+,D+,C-,C,C-,,,
 Governance Pillar Score (Weight 32.2%),D+,D,D+,D,D,D,D,,,
 ESG Controversies Score ,A+,A+,A+,A+,A+,A+,A+,,,
Resource Use (Weight 17.2%),C-,C,C+,D-,D-,D-,D-,,,
     Policy Water Efficiency ,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,--,--,--
     Policy Energy Efficiency ,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,--,--,--
     Policy Environmental Supply Chain ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,--,--,--
     Targets Water Efficiency ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,--,--,--
     Targets Energy Efficiency ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,--,--,--
     Environment Management Team ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,--,--,--
     Environmental Materials Sourcing ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,--,--,--
     Total Energy Use / Million in Revenue $ ,973.57,960.87,942.66,798.99,--,--,--,--,--,--
     Green Buildings ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,--,--,--
     Total Water Use / Million in Revenue $ ,668.04,696.24,788.90,--,--,--,--,--,--,--
     Environmental Supply Chain Management ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,--,--,--
Emissions (Weight 16.1%),D+,D+,C-,D-,D-,D-,D-,,,
     Policy Emissions ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,--,--,--
     Targets Emissions ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,--,--,--
     Biodiversity Impact Reduction ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,--,--,--
     Total CO2 Emissions / Million in Revenue $ ,100.11,85.23,86.01,--,--,--,--,--,--,--
     Climate Change Commercial Risks Opportunities ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,--,--,--
     Total Waste / Million in Revenue $ ,8.74,9.23,13.58,12.99,--,--,--,--,--,--
     e-Waste Reduction ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,--,--,--
     Staff Transportation Impact Reduction ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,--,--,--
     Environmental Expenditures Investments ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,--,--,--
     Environmental Partnerships ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,--,--,--
Innovation (Weight 4.3%),D-,D-,D-,D-,D-,D-,D-,,,
     Environmental Products ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,--,--,--
