Refinitiv ESG Statement - FIRST REPUBLIC BANK (FRC.N),,,,,,,,,,
Environment,,,,,,,,,,
,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012
Period End Date,2021-12-31,2020-12-31,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31
Reporting Currency,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD
Period Status,Complete,Complete,Complete,Complete,Complete,Complete,Complete,Complete,Complete,Complete
ESG Report,Yes,Yes,Yes,No,No,No,No,No,No,No
ESG Reporting Scope,100%,100%,100%,--,--,--,--,--,--,--
ESG Report Auditor Name,--,--,--,--,--,--,--,--,--,--
 ESG Combined Score ,C+,C+,C+,C,C,C,C-,D+,D+,C-
 ESG Score (Weight 100.0%),C+,C+,C+,C,C,C,C-,D+,D+,C-
 Environmental Pillar Score (Weight 14.4%),D,D-,D-,D-,D+,D+,D+,D,D,D
 Social Pillar Score (Weight 49.6%),B-,B-,B-,C,C+,C,C-,D+,D+,C-
 Governance Pillar Score (Weight 36.0%),B-,B-,C+,B-,B-,B-,C,C-,C,C
 ESG Controversies Score ,A+,A+,A+,A+,A+,A+,A+,A+,A+,A+
Resource Use (Weight 2.4%),C-,C-,D+,D-,D-,D-,D-,D-,D-,D-
     Policy Water Efficiency ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
     Policy Energy Efficiency ,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
     Policy Environmental Supply Chain ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
     Targets Water Efficiency ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
     Targets Energy Efficiency ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
     Environment Management Team ,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
     Environmental Materials Sourcing ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
     Green Buildings ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
     Environmental Supply Chain Management ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
     Env Supply Chain Partnership Termination ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Emissions (Weight 2.4%),C+,D,D-,D-,D-,D-,D-,D-,D-,D-
     Policy Emissions ,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
     Targets Emissions ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
     Total CO2 Emissions / Million in Revenue $ ,1.99,--,--,--,--,--,--,--,--,--
"     CO2 Equivalent Emissions Indirect, Scope 3 To Revenues USD in million ",3.97,--,--,--,--,--,--,--,--,--
     Climate Change Commercial Risks Opportunities ,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
     e-Waste Reduction ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
     Environmental Restoration Initiatives ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
     Staff Transportation Impact Reduction ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
     Environmental Expenditures Investments ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
     Environmental Partnerships ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Innovation (Weight 9.6%),D-,D-,D-,D-,D-,D-,D-,D-,D-,D-
     Environmental Products ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
     Environmental Assets Under Mgt ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
     Equator Principles or Env Project Financing ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
     Renewable/Clean Energy Products ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
     Fossil Fuel Divestment Policy ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
