Refinitiv ESG Statement - GOLDMAN SACHS GROUP INC (GS.N),,,,,,,,,,
Environment,,,,,,,,,,
,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012
Period End Date,2021-12-31,2020-12-31,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31
Reporting Currency,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD
Period Status,Complete,Complete,Complete,Complete,Complete,Complete,Complete,Complete,Complete,Complete
ESG Report,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
ESG Reporting Scope,52.00%,53.00%,51.00%,100%,100%,100%,100%,100%,100%,100%
ESG Report Auditor Name,--,Apex Companies LLC,"Apex Companies, LLC","Bureau Veritas North America, Inc","Bureau Veritas North America, Inc","Bureau Veritas North America, Inc",--,"Bureau Veritas North America, Inc","Bureau Veritas North America, Inc","Bureau Veritas North America, Inc"
 ESG Combined Score ,C+,C+,C+,C,C+,C-,C,C,C,C
 ESG Score (Weight 100.0%),A,A,A-,B+,B,B,B+,B,B,B-
 Environmental Pillar Score (Weight 14.0%),A,A,A+,A+,A+,A+,A+,A,A,A
 Social Pillar Score (Weight 39.4%),A-,A-,A-,A-,A-,B+,A-,B+,B+,B+
 Governance Pillar Score (Weight 46.6%),A,A,A-,B-,C+,C,B-,C+,C,C
 ESG Controversies Score ,D-,D-,D-,D-,D+,D-,D-,D-,D,D
Resource Use (Weight 3.1%),A+,A+,A+,A+,A+,A+,A+,A-,A-,A-
     Policy Water Efficiency ,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
     Policy Energy Efficiency ,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
     Policy Environmental Supply Chain ,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
     Targets Energy Efficiency ,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
     Environment Management Team ,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
     Environmental Materials Sourcing ,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
     Total Energy Use / Million in Revenue $ ,26.44,28.49,35.09,37.23,44.73,51.60,51.12,51.86,53.30,56.65
     Renewable Energy Use Ratio ,87.30%,89.61%,86.04%,84.23%,83.94%,80.88%,76.85%,--,--,--
     Total Renewable Energy To Energy Use in million ,"873,012.38","896,140.45","860,359.61","842,259.16","839,406.68",--,--,--,--,--
     Green Buildings ,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
     Total Water Use / Million in Revenue $ ,12.34,14.38,19.92,19.50,23.06,25.80,26.32,26.51,25.35,27.92
     Environmental Supply Chain Management ,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
     Env Supply Chain Partnership Termination ,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Emissions (Weight 3.1%),A+,A+,A+,A+,A+,A+,A+,A+,A+,A+
     Policy Emissions ,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
     Targets Emissions ,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
     Total CO2 Emissions / Million in Revenue $ ,2.40,2.68,3.26,3.74,4.62,5.83,5.94,6.34,6.37,6.99
"     CO2 Equivalent Emissions Indirect, Scope 3 To Revenues USD in million ",0.37,0.52,2.47,2.63,2.76,2.69,3.78,3.57,3.64,3.30
     Emissions Trading ,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
     Climate Change Commercial Risks Opportunities ,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
     Total Waste / Million in Revenue $ ,0.05,0.08,0.18,0.23,0.24,1.65,2.17,1.39,0.20,0.25
     Waste Recycled To Total Waste ,96.67%,83.96%,95.85%,78.05%,74.91%,95.26%,46.00%,92.73%,52.42%,54.79%
     e-Waste Reduction ,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
     Environmental Restoration Initiatives ,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
     Staff Transportation Impact Reduction ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
     Environmental Expenditures Investments ,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
     Environmental Partnerships ,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Innovation (Weight 7.8%),A,A,A,A,A+,A,A+,A-,B+,A-
     Environmental Products ,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
     Environmental Assets Under Mgt ,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
     Equator Principles or Env Project Financing ,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
     Renewable/Clean Energy Products ,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
     Fossil Fuel Divestment Policy ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
