Refinitiv ESG Statement - INVITATION HOMES INC (INVH.N),,,,,,,,,,
Environment,,,,,,,,,,
,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012
Period End Date,2021-12-31,2020-12-31,2019-12-31,2018-12-31,2017-12-31,--,--,--,--,--
Reporting Currency,USD,USD,USD,USD,USD,--,--,--,--,--
Period Status,Complete,Complete,Complete,Complete,Complete,--,--,--,--,--
ESG Report,Yes,Yes,No,No,No,--,--,--,--,--
ESG Reporting Scope,100%,100%,--,--,--,--,--,--,--,--
ESG Report Auditor Name,--,--,--,--,--,--,--,--,--,--
 ESG Combined Score ,B-,C+,C-,D+,D+,,,,,
 ESG Score (Weight 100.0%),B-,C+,C-,D+,D+,,,,,
 Environmental Pillar Score (Weight 37.6%),D+,C-,C-,D-,D-,,,,,
 Social Pillar Score (Weight 30.2%),B,B-,C+,B-,C+,,,,,
 Governance Pillar Score (Weight 32.2%),A-,B,D+,D+,D,,,,,
 ESG Controversies Score ,A+,A+,A+,A+,A+,,,,,
Resource Use (Weight 17.2%),C-,C,C+,D-,D-,,,,,
     Policy Water Efficiency ,TRUE,TRUE,TRUE,FALSE,FALSE,--,--,--,--,--
     Policy Energy Efficiency ,TRUE,TRUE,TRUE,FALSE,FALSE,--,--,--,--,--
     Policy Environmental Supply Chain ,TRUE,TRUE,TRUE,FALSE,FALSE,--,--,--,--,--
     Targets Water Efficiency ,FALSE,FALSE,FALSE,FALSE,FALSE,--,--,--,--,--
     Targets Energy Efficiency ,FALSE,FALSE,FALSE,FALSE,FALSE,--,--,--,--,--
     Environment Management Team ,FALSE,FALSE,FALSE,FALSE,FALSE,--,--,--,--,--
     Environmental Materials Sourcing ,FALSE,FALSE,FALSE,FALSE,FALSE,--,--,--,--,--
     Green Buildings ,FALSE,FALSE,FALSE,FALSE,FALSE,--,--,--,--,--
     Environmental Supply Chain Management ,TRUE,TRUE,TRUE,FALSE,FALSE,--,--,--,--,--
Emissions (Weight 16.1%),D+,D+,C-,D,D-,,,,,
     Policy Emissions ,TRUE,TRUE,TRUE,FALSE,FALSE,--,--,--,--,--
     Targets Emissions ,FALSE,FALSE,FALSE,FALSE,FALSE,--,--,--,--,--
     Biodiversity Impact Reduction ,FALSE,FALSE,FALSE,FALSE,FALSE,--,--,--,--,--
     Climate Change Commercial Risks Opportunities ,TRUE,TRUE,TRUE,TRUE,FALSE,--,--,--,--,--
     e-Waste Reduction ,FALSE,FALSE,FALSE,FALSE,FALSE,--,--,--,--,--
     Staff Transportation Impact Reduction ,FALSE,FALSE,FALSE,FALSE,FALSE,--,--,--,--,--
     Environmental Expenditures Investments ,FALSE,FALSE,FALSE,FALSE,FALSE,--,--,--,--,--
     Environmental Partnerships ,FALSE,FALSE,FALSE,FALSE,FALSE,--,--,--,--,--
Innovation (Weight 4.3%),D-,D-,D-,D-,D-,,,,,
     Environmental Products ,FALSE,FALSE,FALSE,FALSE,FALSE,--,--,--,--,--
