Refinitiv ESG Statement - JPMORGAN CHASE & CO (JPM.N),,,,,,,,,,
Environment,,,,,,,,,,
,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012
Period End Date,2021-12-31,2020-12-31,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31
Reporting Currency,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD
Period Status,Complete,Complete,Complete,Complete,Complete,Complete,Complete,Complete,Complete,Complete
ESG Report,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
ESG Reporting Scope,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
ESG Report Auditor Name,--,--,--,--,--,--,--,--,--,--
 ESG Combined Score ,C+,C+,C+,C+,C+,C+,C,C,C,C
 ESG Score (Weight 100.0%),A-,A,A-,A-,A,A-,A-,B+,B+,B+
 Environmental Pillar Score (Weight 14.4%),A,A-,A-,B-,A-,A-,A-,B+,A-,A-
 Social Pillar Score (Weight 49.6%),A,A,A,A,A,A,A-,B+,A-,A-
 Governance Pillar Score (Weight 36.0%),A-,A,A-,A-,A,A-,A-,B+,B+,B
 ESG Controversies Score ,D-,D,D-,D-,D,D-,D-,D-,D-,D-
Resource Use (Weight 2.4%),A+,A+,A,B+,B+,B+,A-,B+,B+,B+
     Policy Water Efficiency ,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
     Policy Energy Efficiency ,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
     Policy Environmental Supply Chain ,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
     Targets Water Efficiency ,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
     Targets Energy Efficiency ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
     Environment Management Team ,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
     Environmental Materials Sourcing ,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
     Total Energy Use / Million in Revenue $ ,72.13,58.75,65.77,71.48,77.15,86.70,92.39,92.81,93.10,93.39
     Renewable Energy Use Ratio ,85.60%,86.65%,18.38%,17.99%,17.48%,9.26%,8.93%,--,--,--
     Total Renewable Energy To Energy Use in million ,"856,039.04","866,522.48","183,833.39","179,894.85","174,813.72","92,582.93","89,284.99",--,--,--
     Green Buildings ,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
     Total Water Use / Million in Revenue $ ,55.08,41.98,44.00,52.69,55.73,53.10,53.61,56.82,62.71,67.24
     Environmental Supply Chain Management ,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
     Environmental Supply Chain Monitoring ,TRUE,TRUE,TRUE,--,--,--,TRUE,--,--,--
     Env Supply Chain Partnership Termination ,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Emissions (Weight 2.4%),A,B+,B+,B+,A,A,A-,B+,B+,B+
     Policy Emissions ,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
     Targets Emissions ,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
     Total CO2 Emissions / Million in Revenue $ ,6.91,6.09,6.69,7.56,8.43,10.21,11.35,10.55,12.10,13.43
"     CO2 Equivalent Emissions Indirect, Scope 3 To Revenues USD in million ",0.32,0.30,1.56,1.62,1.86,1.44,1.57,1.64,1.67,1.55
     Climate Change Commercial Risks Opportunities ,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
     e-Waste Reduction ,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
     Environmental Restoration Initiatives ,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
     Staff Transportation Impact Reduction ,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
     Environmental Expenditures Investments ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
     Environmental Partnerships ,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Innovation (Weight 9.6%),A-,A-,A,B-,B-,B-,B-,B-,B-,B-
     Environmental Products ,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
     Environmental Assets Under Mgt ,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
     Equator Principles or Env Project Financing ,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
     Renewable/Clean Energy Products ,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
     Fossil Fuel Divestment Policy ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
